Slide,Number,Comment,   SiO2  ,   MgO   ,   CaO   ,   Nd2O3 ,   Ce2O3 ,   La2O3 ,   Y2O3  ,   Pr2O3 ,   Gd2O3 ,   Eu2O3 ,   Al2O3 ,   F     ,   Sm2O3 ,   FeO   ,   MnO   ,   TiO2  ,   Cl    ,   Na2O  ,   K2O   ,  Total  ,Si_T,Al_T,Sum_T,Al_M,Ti_M,Cr_M,Fe_M,Mn_M,Mg_M,M_Sum,Ca_I,Na_I,K_I,Ba_I,Total_Cations,F_A,Cl_A,OH_A,XAlcel,XFeAlcel,Xprl,Xmrg,Xpg,Xms,XTriOct,Xphl,Xann,Xeas,Xsid,XDiOct,,,,,
EDC08,178,EDC08#2 30 EDC08#2-feathery_bt-30 ,40.827,23.047,0,0.02,0,0,0.027,0.1,0.015,0.029,12.988,1.79,0,5.401,0.039,1.277,0.158,0.083,10.428,95.439,2.951187946,1.048812054,4,0.057656812,0.069444109,0,0.326500216,0.002387772,2.483517705,2.939506614,0,0.011632272,0.961621526,0,7.912760411,0.409209923,0.01935717,1.571432907,0.053464569,0.007028818,0,0,0,0,0.939506614,0.789813132,0.103834234,0.040530793,0.005328455,0.060493386,,,,,
EDC08,179,EDC08#2 31 EDC08#2-feathery_bt-31 ,41.049,23.232,0,0.014,0.037,0.045,0.006,0,0,0,12.981,1.841,0,5.243,0.054,1.296,0.162,0.076,10.545,95.769,2.953949728,1.046050272,4,0.054870807,0.070161786,0,0.31552972,0.003291342,2.4922441,2.936097755,0,0.010603547,0.968056838,0,7.914758139,0.418984573,0.01975836,1.561257066,0.056721091,0.007181155,0,0,0,0,0.936097755,0.792638473,0.100351725,0.03826325,0.004844306,0.063902245,,,,,
EDC08,341,EDC08 small bt matrix-49 ,40.357,22.187,0.004,0.02,0.043,0.062,0.053,0.125,0.02,0.031,12.92,1.762,0,6.134,0.064,1.799,0.15,0.054,10.532,95.541,2.934184737,1.065815263,4,0.041263732,0.098399945,0,0.37296858,0.00394119,2.404753809,2.921327255,0.000311596,0.007612011,0.976861928,0,7.90611279,0.405152207,0.018483968,1.576363825,0.068109248,0.010563497,0,0,0,0,0.921327255,0.745123856,0.115566003,0.05249553,0.008141866,0.078672745,,,,,
EDC08,342,EDC08 small bt matrix-50 ,40.553,22.914,0.023,0.002,0,0.012,0,0.002,0,0.001,12.873,1.816,0,5.276,0.049,1.483,0.167,0.065,10.573,95.006,2.943684681,1.056315319,4,0.044959193,0.080984996,0,0.320282333,0.003012612,2.479548845,2.928787978,0.001788792,0.009147843,0.979084751,0,7.918809365,0.416896136,0.020545662,1.562558202,0.063065833,0.008146188,0,0,0,0,0.928787978,0.776219079,0.100263908,0.046321643,0.005983348,0.071212022,,,,,
EDC08,343,EDC08 small bt matrix-51 ,39.732,21.819,0.004,0.111,0.012,0.068,0,0.098,0.017,0,12.802,1.946,0.042,6.609,0.08,1.609,0.148,0.038,10.544,94.827,2.925289528,1.074710472,4,0.036135312,0.089120905,0,0.406934094,0.004988813,2.394786113,2.931965236,0.000315538,0.005424367,0.990347436,0,7.928052577,0.453121836,0.01846824,1.528409924,0.058153097,0.009881667,0,0,0,0,0.931965236,0.737087979,0.125249694,0.059514551,0.010113012,0.068034764,,,,,
EDC08,344,EDC08 small bt matrix-52 ,40.08,21.835,0.008,0,0,0.041,0,0.046,0,0,12.883,1.949,0.004,6.353,0.062,1.664,0.162,0.054,10.555,94.838,2.936303375,1.063696625,4,0.048643842,0.091711046,0,0.38923507,0.003847191,2.384678668,2.918115816,0.000627953,0.007670153,0.986473001,0,7.912886923,0.451573842,0.020115165,1.528310994,0.07039421,0.011489974,0,0,0,0,0.918115816,0.73901112,0.120623818,0.050274853,0.008206026,0.081884184,,,,,
EDC017,238,EDC017 5 EDC017-cornflake-5 ,39.894,21.482,0,0.031,0,0,0,0.056,0.018,0,13.493,1.154,0,6.303,0.06,2.178,0.182,0.057,10.419,94.8,2.906848366,1.093151634,4,0.065547903,0.119389953,0,0.384080269,0.003702924,2.333420267,2.906141317,0,0.008052425,0.968488765,0,7.882682507,0.26592816,0.022476131,1.711595709,0.080593085,0.013265597,0,0,0,0,0.906141317,0.705592467,0.116140306,0.07247859,0.011929954,0.093858683,,,,,
EDC017,239,EDC017 6 EDC017-cornflake-6 ,39.976,21.578,0,0.05,0,0.036,0.029,0.105,0.04,0.062,13.489,1.216,0,6.096,0.05,2.064,0.163,0.075,10.421,94.901,2.91348604,1.08651396,4,0.07210566,0.113166637,0,0.371551021,0.003086472,2.344381324,2.904291114,0,0.010597707,0.968895091,0,7.883783912,0.280279224,0.020134302,1.699586474,0.082615506,0.01309338,0,0,0,0,0.904291114,0.713049178,0.11300813,0.06753109,0.010702715,0.095708886,,,,,
EDC017,240,EDC017 7 EDC017-big_bt-7 ,40.04,21.448,0.015,0,0.001,0.025,0,0.088,0,0.008,13.252,1.138,0.002,6.552,0.061,2.204,0.182,0.097,10.321,94.914,2.916408363,1.083591637,4,0.053991674,0.120770529,0,0.399105811,0.003763248,2.328866138,2.906497401,0.001170602,0.013698185,0.959024713,0,7.880390901,0.262144201,0.022467825,1.715387975,0.079823049,0.013679551,0,0,0,0,0.906497401,0.70918613,0.12153567,0.064689533,0.011086068,0.093502599,,,,,
EDC017,242,EDC017 9 EDC017-big_bt-9 ,40.234,21.567,0.052,0.007,0.003,0,0,0.108,0.026,0.029,13.367,1.235,0,6.385,0.069,2.302,0.189,0.066,10.435,95.511,2.913838284,1.086161716,4,0.054754361,0.125421695,0,0.386716793,0.004232531,2.328442035,2.899567414,0.004034961,0.0092673,0.964091916,0,7.87696159,0.282867412,0.023199008,1.69393358,0.086128094,0.014304492,0,0,0,0,0.899567414,0.704974251,0.117084891,0.066468863,0.01103941,0.100432586,,,,,
